"filename", "language", "Markdown", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Vito\dev-events\frontend\components\singleEvent\detail.tsx", "TypeScript JSX", 0, -13, 0, 0, -4, -17
"c:\Vito\dev-events\frontend\components\singleEvent\details.tsx", "TypeScript JSX", 0, -105, 0, 0, -17, -122
"c:\Vito\dev-events\frontend\components\singleEvent\details\detail.tsx", "TypeScript JSX", 0, 13, 0, 0, 4, 17
"c:\Vito\dev-events\frontend\components\singleEvent\details\details.tsx", "TypeScript JSX", 0, 105, 0, 0, 17, 122
"c:\Vito\dev-events\frontend\components\singleEvent\relatedEventsSlider.tsx", "TypeScript JSX", 0, 69, 0, 0, 12, 81
"c:\Vito\dev-events\frontend\components\singleEvent\slider.tsx", "TypeScript JSX", 0, -80, 0, 0, -13, -93
"c:\Vito\dev-events\frontend\components\userComments\index.tsx", "TypeScript JSX", 0, -53, 0, 0, -12, -65
"c:\Vito\dev-events\frontend\modules\IranProvinces.ts", "TypeScript", 0, 0, -29, 0, -1, -30
"c:\Vito\dev-events\frontend\modules\getEvents.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 4
"c:\Vito\dev-events\frontend\pages\404.tsx", "TypeScript JSX", 0, -35, 0, 0, 2, -33
"c:\Vito\dev-events\frontend\public\fonts\index.ts", "TypeScript", 0, 0, 36, 0, 2, 38
"c:\Vito\dev-events\frontend\store\readme.md", "Markdown", 1, 0, 0, 0, 0, 1
"c:\Vito\dev-events\frontend\types.ts", "TypeScript", 0, 0, -33, 0, -3, -36
"c:\Vito\dev-events\frontend\types\event.ts", "TypeScript", 0, 0, 32, 0, 2, 34
"c:\Vito\dev-events\frontend\types\index.ts", "TypeScript", 0, 0, 15, 0, 3, 18
"Total", "-", 1, -76, 118, 12, 47, 102
