Date : 2023-02-04 20:32:30
Directory : c:\Vito\dev-events\frontend
Total : 114 files,  10106 codes, 8 comments, 502 blanks, all 10616 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Vito\dev-events\frontend\package-lock.json                                   | JSON               |      6,994 |          0 |          1 |      6,995 |
| c:\Vito\dev-events\frontend\package.json                                        | JSON               |         32 |          0 |          1 |         33 |
| c:\Vito\dev-events\frontend\pages\404.tsx                                       | TypeScript JSX     |         76 |          0 |          6 |         82 |
| c:\Vito\dev-events\frontend\postcss.config.js                                   | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Vito\dev-events\frontend\public\404-background.svg                           | XML                |         27 |          0 |          1 |         28 |
| c:\Vito\dev-events\frontend\public\comments-background.svg                      | XML                |         13 |          0 |          1 |         14 |
| c:\Vito\dev-events\frontend\public\create-account-homepage.svg                  | XML                |         74 |          0 |          1 |         75 |
| c:\Vito\dev-events\frontend\public\email-settler-backgorund.svg                 | XML                |         28 |          0 |          1 |         29 |
| c:\Vito\dev-events\frontend\public\email-settler-image.svg                      | XML                |        128 |          0 |          1 |        129 |
| c:\Vito\dev-events\frontend\public\footer-background.svg                        | XML                |         13 |          0 |          1 |         14 |
| c:\Vito\dev-events\frontend\public\icons\add.svg                                | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\arrow-left.svg                         | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\arrow-outline.svg                      | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\arrow-up.svg                           | XML                |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\public\icons\calendar-gray.svg                      | XML                |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\public\icons\calendar-white.svg                     | XML                |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\public\icons\calendar.svg                           | XML                |         14 |          0 |          1 |         15 |
| c:\Vito\dev-events\frontend\public\icons\dollars.svg                            | XML                |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\public\icons\eenamad.svg                            | XML                |          9 |          0 |          1 |         10 |
| c:\Vito\dev-events\frontend\public\icons\food.svg                               | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\index.tsx                              | TypeScript JSX     |         35 |          0 |          1 |         36 |
| c:\Vito\dev-events\frontend\public\icons\location-white.svg                     | XML                |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\public\icons\location.svg                           | XML                |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\public\icons\login.svg                              | XML                |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\public\icons\logo.svg                               | XML                |         13 |          0 |          1 |         14 |
| c:\Vito\dev-events\frontend\public\icons\menu.svg                               | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\message.svg                            | XML                |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\public\icons\mobile.svg                             | XML                |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\public\icons\notifaction.svg                        | XML                |          6 |          0 |          1 |          7 |
| c:\Vito\dev-events\frontend\public\icons\people-red.svg                         | XML                |         11 |          0 |          1 |         12 |
| c:\Vito\dev-events\frontend\public\icons\people.svg                             | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\play.svg                               | XML                |         10 |          0 |          1 |         11 |
| c:\Vito\dev-events\frontend\public\icons\price.svg                              | XML                |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\public\icons\primary-app-icon.svg                   | XML                |          7 |          0 |          1 |          8 |
| c:\Vito\dev-events\frontend\public\icons\save.svg                               | XML                |          5 |          0 |          1 |          6 |
| c:\Vito\dev-events\frontend\public\icons\search-icon-searchbar.svg              | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\search.svg                             | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\share.svg                              | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\social\dribble.svg                     | XML                |          5 |          0 |          1 |          6 |
| c:\Vito\dev-events\frontend\public\icons\social\facebook.svg                    | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\social\index.ts                        | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Vito\dev-events\frontend\public\icons\social\instagram-outline.svg           | XML                |          5 |          0 |          1 |          6 |
| c:\Vito\dev-events\frontend\public\icons\social\instagram.svg                   | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\social\linkedin.svg                    | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\social\telegram.svg                    | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\social\twitter.svg                     | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\social\whatsapp.svg                    | XML                |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\public\icons\star-outline.svg                       | XML                |          3 |          0 |          1 |          4 |
| c:\Vito\dev-events\frontend\public\icons\star.svg                               | XML                |         10 |          0 |          1 |         11 |
| c:\Vito\dev-events\frontend\public\icons\support.svg                            | XML                |         10 |          0 |          1 |         11 |
| c:\Vito\dev-events\frontend\public\icons\thin-email.svg                         | XML                |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\public\icons\thin-location.svg                      | XML                |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\public\icons\time.svg                               | XML                |          5 |          0 |          1 |          6 |
| c:\Vito\dev-events\frontend\public\icons\timer.svg                              | XML                |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\public\icons\zarinpaal.svg                          | XML                |          9 |          0 |          1 |         10 |
| c:\Vito\dev-events\frontend\public\index.tsx                                    | TypeScript JSX     |         16 |          0 |          1 |         17 |
| c:\Vito\dev-events\frontend\public\logo.svg                                     | XML                |          7 |          0 |          1 |          8 |
| c:\Vito\dev-events\frontend\styles\globals.css                                  | CSS                |        183 |          0 |         21 |        204 |
| c:\Vito\dev-events\frontend\styles\index.tsx                                    | TypeScript JSX     |          4 |          0 |          1 |          5 |
| c:\Vito\dev-events\frontend\tailwind.config.js                                  | JavaScript         |         20 |          1 |          1 |         22 |
| c:\Vito\dev-events\frontend\tsconfig.json                                       | JSON with Comments |         25 |          0 |          1 |         26 |
| c:\Vito\dev-events\frontend\types.ts                                            | TypeScript         |         33 |          0 |          3 |         36 |
| Total                                                                           |                    |     10,106 |          8 |        502 |     10,616 |
+---------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
