"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "TypeScript JSX", "CSS", "Markdown", "XML", "comment", "blank", "total"
"c:\Vito\dev-events\frontend\public\icons\social\dribble.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Vito\dev-events\frontend\public\icons\social\facebook.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\social\index.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Vito\dev-events\frontend\public\icons\social\instagram-outline.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Vito\dev-events\frontend\public\icons\social\instagram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\social\linkedin.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\social\telegram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\social\twitter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\social\whatsapp.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\star-outline.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Vito\dev-events\frontend\public\icons\star.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Vito\dev-events\frontend\public\icons\support.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Vito\dev-events\frontend\public\icons\thin-email.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\thin-location.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\time.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Vito\dev-events\frontend\public\icons\timer.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Vito\dev-events\frontend\public\icons\zarinpaal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Vito\dev-events\frontend\public\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\Vito\dev-events\frontend\public\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Vito\dev-events\frontend\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 183, 0, 0, 0, 21, 204
"c:\Vito\dev-events\frontend\styles\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Vito\dev-events\frontend\tailwind.config.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 1, 1, 22
"c:\Vito\dev-events\frontend\tsconfig.json", "JSON with Comments", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Vito\dev-events\frontend\types.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"Total", "-", 7026, 238, 28, 32, 2003, 183, 79, 517, 8, 502, 10616
